title,description
Comprar leite,Comprar leite no caminho de casa
Fazer exercícios,Fazer exercícios físicos por 30 minutos
Ler livro,Ler o novo livro do autor favorito
Marcar consulta,Marcar consulta com o médico
Fazer compras,Fazer compras no supermercado
Limpar a casa,Limpar a casa inteira
Estudar para prova,Estudar para a prova de matemática
Resolver problemas,Resolver problemas de lógica
Assistir filme,Assistir o filme indicado pelo amigo
Enviar e-mail,Enviar e-mail para o cliente
Preparar jantar,Preparar um jantar especial
Cuidar das plantas,Cuidar das plantas do jardim
Fazer chamadas,Fazer chamadas para os clientes
Organizar documentos,Organizar documentos importantes
Planejar viagem,Planejar a próxima viagem de férias
Fazer exercícios de meditação,Fazer exercícios de meditação diariamente
Aprender uma nova habilidade,Aprender a tocar um instrumento musical
Escrever um artigo,Escrever um artigo sobre um tema interessante
Resolver bugs,Resolver bugs no código do projeto
Fazer caminhada,Fazer uma caminhada no parque
Aprender um novo idioma,Aprender as noções básicas de um novo idioma
Criar playlist,Criar uma playlist de músicas para relaxar
Fazer anotações,Fazer anotações para o trabalho
Visitar um museu,Visitar um museu local
Aprender a cozinhar,Aprender a cozinhar uma nova receita
Fazer voluntariado,Fazer trabalho voluntário em uma instituição de caridade
Criar um blog,Criar um blog sobre um assunto de interesse
Fazer uma trilha,Fazer uma trilha em uma montanha próxima
Assistir série,Assistir a última temporada da série recomendada
Fazer ioga,Praticar ioga para melhorar a flexibilidade
Ler notícias,Ficar atualizado com as últimas notícias do mundo
Tomar café da manhã,Preparar um café da manhã saudável e nutritivo
Ir ao teatro,Assistir a uma peça de teatro local
Plantar flores,Adicionar novas flores ao jardim para colorir o ambiente
Ouvir podcast,Ouvir episódios interessantes sobre ciência
Fazer piquenique,Organizar um piquenique no parque com a família
Pintar um quadro,Explorar habilidades artísticas pintando uma paisagem
Ir à academia,Treinar na academia para manter a forma
Cozinhar para amigos,Preparar um jantar especial para convidados
Visitar biblioteca,Pegar um livro interessante na biblioteca local
Praticar esportes,Jogar tênis no clube neste fim de semana
Viajar para o campo,Passar um fim de semana relaxante no campo
Tocar instrumento,Praticar guitarra por uma hora
Assistir documentário,Assistir a um documentário educativo sobre natureza
Ir ao cinema,Ver o último lançamento de um diretor famoso
Jogar videogame,Jogar o mais recente jogo de aventura
Fazer tricô,Criar um cachecol para o inverno
Ler poesia,Explorar poemas de autores renomados
